species_name,inat_common
Carex blanda,eastern woodland sedge
Carex brevior,Shortbeak Sedge
Carex bromoides,brome-like sedge
Carex brunnescens,Brownish Sedge
Carex bullata,button sedge
Carex bushii,Bush's Sedge
Carex buxbaumii,Buxbaum's sedge
Carex canescens,hoary sedge
Carex castanea,chestnut sedge
Carex cephalophora,oval-headed sedge
Carex collinsii,Collins' Sedge
Carex communis,fibrous-rooted sedge
Carex comosa,bristly sedge
Carex conoidea,open-field sedge
Carex crawfordii,Crawford's sedge
Carex crinita,fringed sedge
Carex cristatella,crested sedge
Carex cryptolepis,northeastern sedge
Carex cumulata,clustered sedge
Carex debilis,white-edge sedge
Carex deweyana,Dewey's sedge
Carex diandra,lesser tussock sedge
Carex digitalis,slender woodland sedge
Carex disperma,two-seeded sedge
Carex eburnea,ivory sedge
Carex echinata,star sedge
Carex exilis,meager sedge
Carex flava,yellow-green sedge
Carex folliculata,northern long sedge
Carex formosa,handsome sedge
Carex garberi,Elk Sedge
Carex glaucodea,Blue Sedge
Carex gracillima,graceful sedge
Carex granularis,Limestone Meadow sedge
Carex grayi,Gray's sedge
Carex grisea,Inflated Narrow-leaved Sedge
Carex gynandra,nodding sedge
Carex haydenii,Hayden's sedge
Carex hirsutella,fuzzy wuzzy sedge
Carex hirtifolia,hairy sedge
Carex hormathodes,marsh straw sedge
Carex hystericina,bottlebrush sedge
Carex interior,inland sedge
Carex intumescens,bladder sedge
Carex kobomugi,Japanese sedge
Carex lacustris,lake sedge
Carex lasiocarpa,woolly-fruited sedge
Carex laxiculmis,Spreading Sedge
Carex laxiflora,loose-flowered sedge
Carex lenticularis,lenticular sedge
Carex leptalea,bristle-stalked sedge
Carex leptonervia,Nerveless Woodland Sedge
Carex limosa,mud sedge
Carex livida,livid sedge
Carex longii,green-and-white sedge
Carex lucorum,Blue Ridge sedge
Carex lupuliformis,false hop sedge
Carex lupulina,hop sedge
Carex lurida,sallow sedge
Carex magellanica,Tall Bog-sedge
Carex merritt-fernaldii,Merritt Fernald's sedge
Carex michauxiana,Michaux's sedge
Carex muehlenbergii,Muhlenberg's Sedge
Carex nigra,smooth black sedge
Carex normalis,Greater Straw Sedge
Carex novae-angliae,New England sedge
Carex oederi,little green sedge
Carex oligosperma,few-seeded sedge
Carex oronensis,Orono sedge
Carex paleacea,chaffy sedge
Carex pallescens,pale sedge
Carex panicea,grass-like sedge
Carex pauciflora,few-flowered sedge
Carex peckii,Peck's sedge
Carex pedunculata,long-stalked sedge
Carex pellita,woolly sedge
Carex pensylvanica,Pennsylvania sedge
Carex plantaginea,plantainleaf sedge
Carex platyphylla,broad-leaved sedge
Carex prasina,drooping sedge
Carex projecta,necklace sedge
Carex pseudocyperus,Cyperus Sedge
Carex radiata,bracted sedge
Carex retrorsa,retrorse sedge
Carex rosea,rosy sedge
Carex scabrata,eastern rough sedge
Carex scirpoidea,Bulrush Sedge
Carex scoparia,pointed broom sedge
Carex seorsa,Weak Stellate Sedge
Carex siccata,dry land sedge
Carex silicea,beach sedge
Carex sparganioides,bur reed sedge
Carex spicata,Spiked Sedge
Carex sprengelii,longbeak sedge
Carex squarrosa,squarrose sedge
Carex stipata,awl-fruited sedge
Carex stricta,tussock sedge
Carex swanii,Swan's sedge
Carex tonsa,shaved sedge
Carex torta,twisted sedge
Carex tribuloides,blunt broom sedge
Carex trichocarpa,Hairy-fruit Sedge
Carex trisperma,threeseeded sedge
Carex tuckermanii,Tuckerman's sedge
Carex typhina,cattail sedge
Carex utriculata,Northwest Territory sedge
Carex vesicaria,inflated sedge
Carex vestita,velvet sedge
Carex virescens,ribbed sedge
Carex vulpinoidea,fox sedge
Cladium mariscoides,smooth saw-grass
Cyperus bipartitus,Shining Flatsedge
Cyperus dentatus,Toothed Sedge
Cyperus diandrus,Umbrella Flatsedge
Cyperus difformis,Variable Flatsedge
Cyperus engelmannii,Engelmann's Flatsedge
Cyperus erythrorhizos,redroot flatsedge
Cyperus esculentus,yellow nutsedge
Cyperus filicinus,fern flatsedge
Cyperus fuscus,Brown Flatsedge
Cyperus grayi,Gray's Flatsedge
Cyperus houghtonii,Houghton's Umbrella-sedge
Cyperus iria,Rice flat-sedge
Cyperus lupulinus,Great Plains Flatsedge
Cyperus microiria,Asian Flatsedge
Cyperus odoratus,Fragrant flatsedge
Cyperus squarrosus,Bearded Flatsedge
Cyperus strigosus,straw-colored flatsedge
Cyperus subsquarrosus,Small-Flower Halfchaff Sedge
Dulichium arundinaceum,Three-way Sedge
Eleocharis acicularis,Needle Spikerush
Eleocharis elliptica,Slender Spikerush
Eleocharis flavescens,Yellow Spikerush
Eleocharis melanocarpa,Black-fruited Spikerush
Eleocharis obtusa,Blunt Spikerush
Eleocharis palustris,common spikerush
Eleocharis parvula,Small Spikerush
Eleocharis robbinsii,Robbins' Spikerush
Eriophorum angustifolium,Common Cottongrass
Eriophorum gracile,slender cottongrass
Eriophorum tenellum,rough cottongrass
Eriophorum vaginatum,tussock cottongrass
Eriophorum virginicum,tawny cottongrass
Eriophorum viridicarinatum,green-keeled cottongrass
Fimbristylis autumnalis,Slender Fimbry
Fuirena pumila,Dwarf Umbrella-sedge
Rhynchospora alba,white beak-sedge
Rhynchospora capillacea,Horned Beakrush
Rhynchospora capitellata,brownish beaked-rush
Rhynchospora fusca,Brown Beakrush
Rhynchospora macrostachya,Tall Beakrush
Schoenoplectiella purshiana,Weak-stalked Bulrush
Schoenoplectiella smithii,Smith's Bulrush
Schoenoplectus acutus,hardstem bulrush
Schoenoplectus pungens,three-square bulrush
Schoenoplectus subterminalis,water bulrush
Schoenoplectus tabernaemontani,soft-stemmed bulrush
Schoenoplectus torreyi,Torrey's bulrush
Scirpus atrocinctus,Black-girdle Bulrush
Scirpus atrovirens,dark green bulrush
Scirpus cyperinus,woolgrass
Scirpus expansus,Woodland Beakrush
Scirpus georgianus,Georgia Bulrush
Scirpus hattorianus,mosquito bulrush
Scirpus longii,Long's Bulrush
Scirpus microcarpus,Panicled Bulrush
Scirpus pendulus,nodding bulrush
Scirpus polyphyllus,leafy bulrush
Scleria pauciflora,few-flower nutrush
Trichophorum alpinum,Cotton Deergrass
Trichophorum cespitosum,Tufted Bulrush
Trichophorum planifolium,Bashful Bulrush
Cystopteris bulbifera,bulblet fern
Cystopteris fragilis,brittle bladderfern
Cystopteris tenuis,Mackay's Fragile Fern
Gymnocarpium dryopteris,northern oak fern
Pteridium aquilinum,common bracken
Dennstaedtia punctilobula,hay-scented fern
Diapensia lapponica,Diapensia
Galax urceolata,galax
Dioscorea polystachya,Chinese yam
Dioscorea villosa,wild yam
Homalosorus pycnocarpos,narrow-leaved glade fern
Aldrovanda vesiculosa,Waterwheel Plant
Drosera filiformis,Thread-leaved Sundew
Drosera intermedia,spoonleaf sundew
Drosera rotundifolia,round-leaved sundew
Dryopteris campyloptera,mountain wood fern
Dryopteris carthusiana,spinulose wood fern
Dryopteris clintoniana,Clinton's wood fern
Dryopteris cristata,crested wood fern
Dryopteris erythrosora,autumn fern
Dryopteris filix-mas,male fern
Dryopteris fragrans,fragrant wood fern
Dryopteris goldieana,Goldie's wood fern
Dryopteris intermedia,intermediate wood fern
Dryopteris marginalis,marginal wood fern
Dryopteris ×,NA
Polystichum acrostichoides,Christmas fern
Polystichum braunii,Braun's holly fern
Polystichum ×,NA
Diospyros virginiana,American persimmon
Elaeagnus angustifolia,Russian olive
Elaeagnus umbellata,autumn olive
Hippophae rhamnoides,Sea-buckthorn
Shepherdia canadensis,Canadian buffalo-berry
Equisetum arvense,field horsetail
Equisetum fluviatile,water horsetail
Equisetum hyemale,rough horsetail
Equisetum pratense,meadow horsetail
Equisetum scirpoides,dwarf horsetail
Equisetum sylvaticum,wood horsetail
Equisetum variegatum,variegated horsetail
Andromeda polifolia,Wild Rosemary
Arctostaphylos uva-ursi,bearberry
Arctous alpina,alpine bearberry
Calluna vulgaris,common heather
Chamaedaphne calyculata,leatherleaf
Chimaphila maculata,striped wintergreen
Chimaphila umbellata,pipsissewa
Corema conradii,broom crowberry
Empetrum atropurpureum,Purple Crowberry
Empetrum nigrum,black crowberry
Epigaea repens,trailing arbutus
Eubotrys racemosa,NA
Gaultheria hispidula,creeping snowberry
Gaultheria procumbens,Eastern Teaberry
Gaylussacia baccata,black huckleberry
Gaylussacia bigeloviana,northern dwarf huckleberry
Gaylussacia frondosa,dangleberry
Harrimanella hypnoides,Moss Bell-heather
Monotropa hypopitys,pinesap
Kalmia angustifolia,sheep laurel
Kalmia latifolia,mountain laurel
Kalmia polifolia,Swamp Laurel
Kalmia procumbens,alpine azalea
Leucothoe fontanesiana,mountain doghobble
Lyonia ligustrina,He-huckleberry
Lyonia mariana,staggerbush
Moneses uniflora,One-flowered Wintergreen
Monotropa uniflora,Ghost Pipe
Orthilia secunda,one-sided wintergreen
Oxydendrum arboreum,sourwood
Phyllodoce caerulea,Blue Mountain-heath
Pieris floribunda,mountain andromeda
Pieris japonica,Japanese andromeda
Pyrola americana,American wintergreen
Pyrola asarifolia,bog wintergreen
Pyrola chlorantha,green-flowered wintergreen
Pyrola elliptica,shinleaf
Rhododendron calendulaceum,Flame Azalea
Rhododendron canadense,Rhodora
Rhododendron catawbiense,Catawba Rhododendron
Rhododendron groenlandicum,Bog Labrador Tea
Rhododendron lapponicum,Lapland Azalea
Rhododendron maximum,great rhododendron
Rhododendron periclymenoides,Pinxter Flower
Rhododendron prinophyllum,early azalea
Rhododendron vaseyi,pinkshell azalea
Rhododendron viscosum,swamp azalea
Vaccinium angustifolium,lowbush blueberry
Vaccinium boreale,Northern Blueberry
Vaccinium cespitosum,dwarf bilberry
Vaccinium corymbosum,Northern highbush blueberry
Vaccinium fuscatum,Black Highbush Blueberry
Vaccinium macrocarpon,American Cranberry
Vaccinium myrtilloides,velvetleaf blueberry
Vaccinium oxycoccos,bog cranberry
Vaccinium pallidum,Early Lowbush Blueberry
Vaccinium stamineum,deerberry
Vaccinium uliginosum,bog bilberry
Vaccinium vitis-idaea,Lingonberry
Eriocaulon aquaticum,Common Pipewort
Eriocaulon parkeri,Parker's pipewort
Acalypha gracilens,Slender Three-seeded Mercury
Acalypha rhomboidea,Common Three-seeded Mercury
Acalypha virginica,Virginia Three-seed Mercury
Euphorbia corollata,flowering spurge
Euphorbia cyparissias,cypress spurge
Euphorbia epithymoides,Cushion Spurge
Euphorbia esula,leafy spurge
Euphorbia hypericifolia,graceful spurge
Euphorbia lathyris,caper spurge
Euphorbia maculata,Spotted spurge
Euphorbia marginata,snow-on-the-mountain
Euphorbia myrsinites,Donkey Tail
Euphorbia nutans,nodding spurge
Euphorbia peplus,Petty Spurge
Euphorbia polygonifolia,seaside sandmat
Euphorbia vermiculata,Wormseed Sandmat
Euphorbia virgata,slender leafy spurge
Albizia julibrissin,Persian silk tree
Amorpha canescens,leadplant
Amorpha fruticosa,false indigo bush
Amphicarpaea bracteata,American hog-peanut
Apios americana,American groundnut
Astragalus alpinus,Alpine Milkvetch
Astragalus robbinsii,Robbins' Milkvetch
Baptisia australis,tall blue wild indigo
Baptisia tinctoria,eastern wild indigo
Cercis canadensis,eastern redbud
Chamaecrista fasciculata,partridge pea
Chamaecrista nictitans,sensitive pea
Cladrastis kentukea,Kentucky yellowwood
Colutea arborescens,Bladder-senna
Securigera varia,purple crownvetch
Crotalaria sagittalis,arrowhead rattlebox
Cytisus scoparius,Scotch Broom
Desmodium canadense,showy tick-trefoil
Desmodium canescens,hoary tick-trefoil
Desmodium ciliare,Little-leaf Tick-clover
Desmodium cuspidatum,toothed tick-trefoil
Desmodium glabellum,tall tick-trefoil
Desmodium marilandicum,Maryland Tick-trefoil
Desmodium paniculatum,panicled ticktrefoil
Desmodium perplexum,perplexed tick-trefoil
Desmodium rotundifolium,Round-leaved Trailing Tick-trefoil
Genista tinctoria,Dyer's Greenweed
Gleditsia triacanthos,honey locust
Gymnocladus dioicus,Kentucky coffeetree
Hedysarum alpinum,Alpine Sweet-vetch
Hylodesmum glutinosum,pointed-leaved tick-trefoil
Hylodesmum nudiflorum,naked-flowered tick-trefoil
Kummerowia striata,Japanese Clover
Lablab purpureus,Hyacinth bean
Lathyrus japonicus,seaside pea
Lathyrus latifolius,broad-leaved sweet pea
Lathyrus palustris,marsh pea
Lathyrus pratensis,meadow pea
Lathyrus sylvestris,Narrow-leaved Everlasting-pea
Lathyrus tuberosus,tuberous pea
Lathyrus vernus,spring vetch
Pisum sativum,Common Pea
Lespedeza angustifolia,Narrow-leaved Bush Clover
Lespedeza bicolor,shrub lespedeza
Lespedeza capitata,round-headed bush clover
Lespedeza cuneata,Chinese bushclover
Lespedeza hirta,hairy lespedeza
Lespedeza procumbens,trailing lespedeza
Lespedeza stuevei,tall bush-clover
Lespedeza violacea,violet bush clover
Lespedeza virginica,slender bush clover
Lotus corniculatus,bird's-foot trefoil
Lotus pedunculatus,greater bird's-foot-trefoil
Lotus tenuis,narrow-leaf bird's-foot trefoil
Lupinus perennis,Sundial Lupine
Lupinus polyphyllus,Large-leaved lupine
Medicago lupulina,Black Medick
Medicago sativa,Alfalfa
Melilotus albus,White Sweetclover
Melilotus officinalis,Yellow Sweetclover
Pueraria montana,kudzu
Robinia hispida,Bristly locust
Robinia pseudoacacia,black locust
Senna hebecarpa,American senna
Strophostyles helvola,trailing fuzzy-bean
Styphnolobium japonicum,Japanese pagoda tree
Tephrosia virginiana,goat's rue
Thermopsis villosa,Aaron's rod
Trifolium arvense,rabbitfoot clover
Trifolium aureum,large hop clover
Trifolium campestre,hop trefoil
Trifolium dubium,Lesser hop trefoil
Trifolium hybridum,Alsike clover
Trifolium incarnatum,crimson clover
Trifolium pratense,Red Clover
Trifolium repens,white clover
Vicia cracca,tufted vetch
Vicia grandiflora,Large yellow vetch
Vicia hirsuta,Hairy tare
Vicia sativa,Common Vetch
Vicia sepium,Bush Vetch
Vicia tetrasperma,Lentil Vetch
Vicia villosa,hairy vetch
Wisteria floribunda,Japanese wisteria
Wisteria frutescens,American wisteria
Wisteria sinensis,Chinese wisteria
Castanea dentata,American chestnut
Castanea mollissima,Chinese chestnut
Castanea pumila,Allegheny Chinquapin
Castanea sativa,Sweet Chestnut
Fagus grandifolia,American beech
Fagus sylvatica,European beech
Quercus alba,white oak
Quercus bicolor,swamp white oak
Quercus cerris,Turkey Oak
Quercus coccinea,scarlet oak
Quercus ilicifolia,bear oak
Quercus macrocarpa,bur oak
Quercus montana,chestnut oak
Quercus muehlenbergii,chinkapin oak
Quercus palustris,pin oak
Quercus prinoides,dwarf chinkapin oak
Quercus robur,English oak
Quercus rubra,northern red oak
Quercus stellata,post oak
Quercus velutina,black oak
Quercus ×,NA
Bartonia paniculata,Twining Screwstem
Bartonia virginica,yellow screwstem
Centaurium erythraea,Common centaury
Centaurium pulchellum,Lesser Centaury
Gentiana andrewsii,closed bottle gentian
Gentiana clausa,bottle gentian
Gentiana linearis,Narrowleaf Gentian
Gentiana rubricaulis,Closed Gentian
Gentianella quinquefolia,agueweed
Gentianopsis crinita,greater fringed gentian
Halenia deflexa,Spurred Gentian
Sabatia kennedyana,Plymouth Gentian
Erodium cicutarium,Redstem Stork's-bill
Geranium bicknellii,Northern Cranesbill
Geranium carolinianum,Carolina crane's-bill
Geranium macrorrhizum,Rock Crane's-bill
Geranium maculatum,wild geranium
Geranium molle,Dove's-foot crane's-bill
Geranium phaeum,Dusky Crane's-bill
Geranium pratense,Meadow Crane's-bill
Geranium robertianum,Herb Robert
Geranium sanguineum,Bloody Crane's-bill
Geranium thunbergii,Thunberg's Geranium
Ribes americanum,American Black Currant
Ribes cynosbati,prickly gooseberry
Ribes glandulosum,skunk currant
Ribes hirtellum,Smooth Gooseberry
Ribes lacustre,swamp currant
Ribes rotundifolium,Appalachian Gooseberry
Ribes rubrum,Red Currant
Ribes triste,northern redcurrant
Ribes uva-crispa,European gooseberry
Lachnanthes caroliana,Carolina redroot
Myriophyllum alterniflorum,Alternate Water-milfoil
Myriophyllum aquaticum,Parrot's feather
Myriophyllum heterophyllum,Broadleaf Water-milfoil
Myriophyllum humile,Low Water-milfoil
Myriophyllum sibiricum,Siberian water-milfoil
Myriophyllum spicatum,Eurasian water-milfoil
Myriophyllum tenellum,Slender Water-milfoil
Myriophyllum verticillatum,whorled water-milfoil
Proserpinaca palustris,marsh mermaidweed
Proserpinaca pectinata,combleaf mermaidweed
Fothergilla gardenii,Coastal Witch-Alder
Hamamelis mollis,Chinese witch-hazel
Hamamelis vernalis,ozark witch-hazel
Hamamelis virginiana,american witch-hazel
Deutzia crenata,NA
Hydrangea arborescens,wild hydrangea
Hydrangea paniculata,Panicle Hydrangea
Hydrangea petiolaris,Climbing Hydrangea
Philadelphus coronarius,Sweet Mock Orange
Elodea canadensis,Canadian Waterweed
Elodea nuttallii,Nuttall's Waterweed
Hydrilla verticillata,Hydrilla
Hydrocharis morsus-ranae,European Frog-bit
Najas flexilis,slender water-nymph
Najas guadalupensis,southern waternymph
Najas minor,Brittle Naiad
Vallisneria americana,American eelgrass
Hydrophyllum canadense,Broad-leaf Waterleaf
Hydrophyllum virginianum,Virginia waterleaf
Nemophila maculata,fivespot
Nemophila menziesii,Menzies' baby blue eyes
Phacelia tanacetifolia,Lacy phacelia
Crepidomanes intricatum,weft fern
Hypericum ascyron,Great St. John's Wort
Hypericum boreale,Northern St. John's-wort
Hypericum calycinum,Rose-of-sharon
Hypericum canadense,Canada St. John's wort
Hypericum densiflorum,bushy St. John's Wort
Hypericum ellipticum,pale St. John's-wort
Hypericum gentianoides,pineweed
Hypericum majus,large canadian st. john's-wort
Hypericum mutilum,Dwarf St. John's Wort
Hypericum perforatum,Common St. John's Wort
Hypericum prolificum,shrubby St. John's-wort
Hypericum punctatum,spotted St. John's wort
Hypericum stragulum,low St. John's wort
Hypericum fraseri,Fraser's marsh St. John's-wort
Hypericum virginicum,Virginia marsh St. John's-wort
Hypoxis hirsuta,yellow star grass
Crocus chrysanthus,Snow Crocus
Crocus neapolitanus,spring crocus
Crocus tommasinianus,Woodland crocus
Crocus vernus,Spring Crocus
Iris cristata,dwarf crested iris
Iris hookeri,beach-head iris
Iris pallida,Sweet Iris
Iris prismatica,Slender Blue Flag
Iris pseudacorus,Yellow Iris
Iris reticulata,Netted Iris
Iris sanguinea,Japanese Iris
Iris versicolor,northern blue flag
Iris virginica,southern blue flag
Iris ×,NA
Sisyrinchium angustifolium,narrow-leaved blue-eyed grass
Sisyrinchium atlanticum,Eastern Blue-eyed Grass
Sisyrinchium fuscatum,Coastal Plain Blue-eyed Grass
Sisyrinchium montanum,strict blue-eyed grass
Isoetes echinospora,spiny-spored quillwort
Itea virginica,Virginia sweetspire
Carya cordiformis,bitternut hickory
Carya glabra,pignut hickory
Carya ovata,shagbark hickory
Carya tomentosa,mockernut
Juglans cinerea,Butternut
Juglans nigra,eastern black walnut
Juncus articulatus,Jointed rush
Juncus balticus,Baltic Rush
Juncus bufonius,Toad rush
Juncus canadensis,Canada Rush
Juncus effusus,Soft Rush
Juncus ensifolius,dagger rush
Juncus filiformis,Thread Rush
Juncus gerardi,Saltmeadow Rush
Juncus greenei,Greene's Rush
Juncus marginatus,Grass-leaved Rush
Juncus militaris,Bayonet Rush
Juncus pelocarpus,Brown-fruit Rush
Juncus pylaei,Pylaie's Soft Rush
Juncus secundus,Secund Rush
Juncus tenuis,Slender Path Rush
Juncus torreyi,Torrey's rush
Luzula acuminata,hairy woodrush
Luzula bulbosa,Bulbous Woodrush
Luzula multiflora,heath wood-rush
Luzula parviflora,Small-flower Woodrush
Luzula spicata,Spiked Woodrush
Oreojuncus trifidus,highland rush
Triglochin gaspensis,Gaspé Peninsula Arrowgrass
Triglochin maritima,common arrowgrass
Agastache foeniculum,anise hyssop
Ajuga genevensis,Blue Bugle
Ajuga reptans,carpet bugle
Blephilia ciliata,downy pagoda plant
Blephilia hirsuta,Hairy Wood Mint
Callicarpa dichotoma,Purple Beautyberry
Clerodendrum trichotomum,Harlequin glorybower
Clinopodium vulgare,Wild Basil
Collinsonia canadensis,citronella horse balm
Elsholtzia ciliata,Crested Elsholtzia
Galeopsis bifida,Bifid Hemp-nettle
Galeopsis tetrahit,Common hemp-nettle
Glechoma hederacea,ground-ivy
Hedeoma pulegioides,American pennyroyal
Lamium album,White deadnettle
Lamium amplexicaule,henbit deadnettle
Lamium galeobdolon,yellow archangel
Lamium hybridum,cutleaf deadnettle
Lamium maculatum,Spotted deadnettle
Lamium purpureum,red deadnettle
Leonurus cardiaca,common motherwort
Lycopus americanus,American bugleweed
Lycopus amplectens,clasping water horehound
Lycopus europaeus,European water-horehound
Lycopus uniflorus,northern bugleweed
Lycopus virginicus,sweet bugleweed
Melissa officinalis,lemon balm
Mentha arvensis,corn mint
Mentha canadensis,Canada mint
Mentha spicata,spearmint
Mentha suaveolens,Apple Mint
Mentha ×,NA
Monarda citriodora,lemon beebalm
Monarda didyma,Scarlet Beebalm
Monarda fistulosa,wild bergamot
Monarda punctata,spotted horsemint
Nepeta cataria,Catnip
Origanum vulgare,Oregano
Perilla frutescens,beefsteak plant
Physostegia virginiana,obedient plant
Prunella vulgaris,common selfheal
Pycnanthemum incanum,Hoary Mountainmint
Pycnanthemum muticum,Clustered Mountainmint
Pycnanthemum tenuifolium,narrowleaf mountainmint
Pycnanthemum verticillatum,Whorled Mountain Mint
Pycnanthemum virginianum,Virginia mountain mint
Salvia azurea,giant blue sage
Salvia reflexa,Mintweed
Scutellaria galericulata,Marsh Skullcap
Scutellaria incana,Downy Skullcap
Scutellaria lateriflora,side-flowering skullcap
Stachys byzantina,woolly hedgenettle
Stachys hispida,marsh hedge nettle
Stachys hyssopifolia,Hyssop-leaved Hedge-nettle
Stachys palustris,Marsh Woundwort
Stachys pilosa,prairie woundwort
Teucrium canadense,American germander
Thymus pulegioides,Large Thyme
Trichostema dichotomum,Blue Curls
Vitex agnus-castus,Lilac chaste tree
Akebia quinata,Five-leaf akebia
Lindera benzoin,northern spicebush
Sassafras albidum,sassafras
Pinguicula vulgaris,Common Butterwort
Utricularia cornuta,Horned Bladderwort
Utricularia geminiscapa,Hidden-fruit Bladderwort
Utricularia gibba,humped bladderwort
Utricularia inflata,swollen bladderwort
Utricularia intermedia,intermediate bladderwort
Utricularia macrorhiza,common bladderwort
Utricularia minor,Lesser Bladderwort
Utricularia purpurea,Purple Bladderwort
Utricularia radiata,Small Swollen Bladderwort
Utricularia resupinata,Northeastern Bladderwort
Clintonia borealis,bluebead lily
Erythronium americanum,yellow trout lily
Lilium canadense,Canada lily
Lilium lancifolium,tiger lily
Lilium philadelphicum,Wood Lily
Lilium superbum,Turk's-cap lily
Medeola virginiana,Cucumber Root
Streptopus amplexifolius,white twisted-stalk
Streptopus lanceolatus,rose twisted-stalk
Linum grandiflorum,Scarlet Flax
Linum intercursum,Sandplain Flax
Linum striatum,Ridged Yellow Flax
Linum usitatissimum,common flax
Linum virginianum,Virginia Flax
Lindernia dubia,Yellowseed False Pimpernel
Spigelia marilandica,woodland pinkroot
Dendrolycopodium dendroideum,prickly tree-clubmoss
Dendrolycopodium hickeyi,Hickey's tree-clubmoss
Dendrolycopodium obscurum,flat-branched tree-clubmoss
Diphasiastrum complanatum,northern ground-cedar
Diphasiastrum digitatum,fan clubmoss
Diphasiastrum tristachyum,blue clubmoss
Diphasiastrum ×,NA
Huperzia appalachiana,Appalachian clubmoss
Huperzia appressa,mountain firmoss
Huperzia lucidula,shining firmoss
Huperzia selago,northern firmoss
Lycopodiella appressa,appressed bog clubmoss
Lycopodiella inundata,inundated bog clubmoss
Lycopodium clavatum,stag's-horn clubmoss
Lycopodium lagopus,arctic stag's-horn clubmoss
Spinulum annotinum,interrupted clubmoss
Spinulum canadense,Northern Clubmoss
Lygodium palmatum,Hartford fern
Decodon verticillatus,swamp loosestrife
Lythrum alatum,Winged Loosestrife
Lythrum hyssopifolia,Hyssop Loosestrife
Lythrum salicaria,purple loosestrife
Rotala ramosior,Toothcup
Trapa natans,Water caltrop
Liriodendron tulipifera,tulip tree
Magnolia acuminata,Cucumber-tree
Magnolia tripetala,umbrella magnolia
Magnolia virginiana,sweetbay magnolia
Abelmoschus esculentus,Okra
Abutilon theophrasti,velvetleaf
Alcea rosea,Hollyhock
Hibiscus moscheutos,swamp rose mallow
Hibiscus syriacus,common hibiscus
Hibiscus trionum,flower-of-an-hour
Malva alcea,Greater Musk-mallow
Malva moschata,musk mallow
Malva neglecta,dwarf mallow
Malva sylvestris,Common Mallow
Tilia americana,basswood
Tilia cordata,Small-leaved Lime
Tilia tomentosa,Silver Lime
Marsilea quadrifolia,clover fern
Mazus miquelii,Miquel's mazus
Mazus pumilus,Asian mazus
Trillium cernuum,nodding trillium
Trillium cuneatum,Little Sweet Betsy
Trillium erectum,red trillium
Trillium grandiflorum,large white trillium
Trillium undulatum,painted trillium
Veratrum viride,green false hellebore
Rhexia virginica,Virginia meadowbeauty
Menispermum canadense,moonseed
Menyanthes trifoliata,Bogbean
Nymphoides cordata,little floatingheart
Nymphoides peltata,water fringe
Mollugo verticillata,green carpetweed
Claytonia caroliniana,Carolina Springbeauty
Claytonia perfoliata,miner's lettuce
Claytonia virginica,Virginia Springbeauty
Fatoua villosa,hairy crabweed
Maclura pomifera,Osage-orange
Morus alba,white mulberry
Comptonia peregrina,sweetfern
Morella pensylvanica,northern bayberry
Myrica gale,bog myrtle
Aletris farinosa,White-tubed Colicroot
Nelumbo lutea,American lotus
Nelumbo nucifera,Sacred Lotus
Mirabilis jalapa,Marvel of Peru
Mirabilis nyctaginea,Wild Four o'Clock
Nuphar advena,spatterdock
Nuphar variegata,Variegated Yellow Pond-Lily
Nymphaea odorata,American white waterlily
Nyssa sylvatica,Black Tupelo
Chionanthus virginicus,white fringetree
Forsythia suspensa,Golden-bell
Forsythia ×,NA
Fraxinus americana,white ash
Fraxinus nigra,black ash
Fraxinus pennsylvanica,green ash
Ligustrum obtusifolium,border privet
Ligustrum ovalifolium,garden privet
Ligustrum sinense,Chinese privet
Ligustrum vulgare,Common Privet
Syringa meyeri,korean lilac
Syringa reticulata,Japanese Tree Lilac
Syringa vulgaris,common lilac
Chamaenerion angustifolium,fireweed
Circaea alpina,Alpine Enchanter's-nightshade
Circaea canadensis,broadleaf enchanter's nightshade
Epilobium ciliatum,fringed willowherb
Epilobium coloratum,cinnamon willowherb
Epilobium densum,Downy willowherb
Epilobium hirsutum,Great Willowherb
Epilobium hornemannii,Hornemann's Willowherb
Epilobium leptophyllum,Linear-leaf Willowherb
Epilobium parviflorum,Hoary Willowherb
Ludwigia alternifolia,Seedbox
Ludwigia palustris,Water Purslane
Oenothera biennis,common evening-primrose
Oenothera gaura,biennial beeblossom
Oenothera lindheimeri,clockweed
Oenothera parviflora,northern evening-primrose
Oenothera perennis,Small Sundrops
Oenothera pilosella,meadow evening primrose
Oenothera speciosa,Pinkladies
Matteuccia struthiopteris,ostrich fern
Onoclea sensibilis,sensitive fern
Botrychium angustisegmentum,narrow triangle moonwort
Botrychium matricariifolium,matricary grapefern
Botrychium simplex,little grapefern
Botrychium tenebrosum,swamp moonwort
Botrypus virginianus,rattlesnake fern
Ophioglossum pusillum,northern adder's-tongue
Sceptridium dissectum,Cutleaf Grapefern
Sceptridium multifidum,leathery grapefern
Sceptridium oneidense,blunt-lobed grapefern
Arethusa bulbosa,Dragon's Mouth
Calopogon tuberosus,Tuberous Grasspink
Corallorhiza maculata,spotted coralroot
Corallorhiza odontorhiza,autumn coralroot
Corallorhiza trifida,northern coralroot
Cypripedium acaule,pink lady's slipper
Cypripedium arietinum,Ram's-head Lady's Slipper
Cypripedium parviflorum,yellow lady's slipper
Cypripedium reginae,showy lady's slipper
Dactylorhiza viridis,Frog Orchid
Epipactis helleborine,Broad-leaved helleborine
Galearis spectabilis,showy orchis
